"","region","General spending","Health sector spending","Liquidity support","country"
"91","MAF",0,3.561758388,12.784859425,"Morocco"
"92","ASIA",0.160418957,0,0,"Maldives"
"93","LAM",9.854792556,2.516573434,2.728074615,"Mexico"
"94","MAF",0.087550706,0,0,"Mali"
"95","OECD+",1.404891305,0.147065217,0,"Malta"
"96","ASIA",0.392076995,2e-04,0.139939462,"Myanmar (Burma)"
"97","OECD+",0.174673913,0.000543478,0.130434783,"Montenegro"
"98","ASIA",0.277057005,0.006875676,0,"Mongolia"
"99","MAF",0.7,0.054702593,0,"Mozambique"
"100","MAF",0.08,0.21,0.13,"Mauritania"
"101","MAF",0.430241244,0.042994656,0.005893716,"Mauritius"
"102","MAF",0.07,0,0,"Malawi"
"103","ASIA",15.518706429,0,12.391174089,"Malaysia"
"104","MAF",0.26447147,0.166239209,0.177573701,"Namibia"
"105","MAF",1.254030077,0,0,"Niger"
"106","MAF",9.637887002,0.0487,0,"Nigeria"
"107","OECD+",69.130434783,0,35.869565217,"Netherlands"
"108","OECD+",22.1835,0,0,"Norway"
"109","OECD+",29.129740364,10.240383786,4.220698723,"New Zealand"
"110","ASIA",8.122368666,1.149198194,0.820855853,"Pakistan"
"111","LAM",0.3425,0.1337,0.235,"Panama"
"112","LAM",13.832326632,0.912796671,1.134240254,"Peru"
"113","ASIA",8.005859324,1.025418414,2.278707588,"Philippines"
"114","ASIA",1.524838103,0,0.182980572,"Papua New Guinea"
"115","OECD+",55.528624348,0,17.899761337,"Poland"
"116","OECD+",9.507443026,0,16.162653143,"Portugal"
"117","LAM",0.445,0.5,2.6,"Paraguay"
"118","MAF",20.6,0,0,"Qatar"
"119","OECD+",5.001548881,0,4.126277826,"Romania"
"120","REF",57.795803682,0,0,"Russia"
"121","MAF",0.334041595,0,0,"Rwanda"
"122","MAF",7.538666667,12.533333333,0,"Saudi Arabia"
"123","MAF",1.172680587,0.11789042,0.359894877,"Senegal"
"124","ASIA",74.137686021,0,14.827537204,"Singapore"
"125","OECD+",0.03828,0,0,"Solomon Islands"
"126","MAF",0,0,0,"Sierra Leone"
"127","OECD+",3.420281833,0.73,2.64,"Serbia"
"128","LAM",0.091,0.052,0,"Suriname"
"129","OECD+",2.391304348,0,4.347826087,"Slovakia"
"130","OECD+",5.157608695,0,2.826086957,"Slovenia"
"131","OECD+",57.792,0,24,"Sweden"
"132","MAF",0.0396,0.036,0,"Eswatini"
"133","MAF",0.27477,0.0756,0,"Chad"
"134","MAF",0.026,0.103,0,"Togo"
"135","ASIA",32,16,32,"Thailand"
"136","REF",0,0,0,"Tajikistan"
"137","ASIA",0.15,0,0,"Timor-Leste"
"138","MAF",0.6426,0.036,0.396,"Tunisia"
"139","OECD+",83.6,0,3.8,"Turkey"
"140","MAF",0.4166,0,0,"Tanzania"
"141","MAF",0.37,0.0013,0,"Uganda"
"142","REF",3.3786,0,0.2016,"Ukraine"
"143","LAM",0.4,0,0.4,"Uruguay"
"144","OECD+",1483,208.3,1242,"United States"
"145","REF",1,0,0,"Uzbekistan"
"146","ASIA",43.4515,0,0,"Vietnam"
"147","OECD+",0.1494,0,0,"Samoa"
"148","MAF",0.408,0,0,"Zambia"
