"","region","Economy","General","Health","Individuals","country"
"100","ASIA",0,6.665170146,0,0,"Macau SAR China"
"101","MAF",0,3.183877649,0,0,"Morocco"
"102","REF",0,0,0,0,"Moldova"
"103","MAF",0,0.16,0,0,"Madagascar"
"104","ASIA",0,0.2274080311,0,0,"Maldives"
"105","LAM",1.29908315,8.054315533,0,0,"Mexico"
"106","OECD+",0,0.02534426211,0,0,"Macedonia"
"107","MAF",0,0.08581716416,0,0,"Mali"
"108","OECD+",0.2173913043,1.1875,0.1470652174,0,"Malta"
"109","ASIA",0.06993946162,0,0.0002098183848,0.02657699541,"Myanmar (Burma)"
"110","OECD+",0,0.2100283363,0,0,"Montenegro"
"111","ASIA",0,0,0.006875676303,0.2613349828,"Mongolia"
"112","MAF",0,0,0.03315308683,0,"Mozambique"
"113","MAF",0,0.29,0,0,"Mauritania"
"114","MAF",0.123768029278,0,0.03830915191,0.2035984081,"Mauritius"
"115","MAF",0.05,0,0.02,0,"Malawi"
"116","ASIA",0,15.518706429,0,0,"Malaysia"
"117","MAF",0.1737955371,0.2644714695,0.1662392094,0,"Namibia"
"118","OECD+",0,0,0,0,"New Caledonia"
"119","MAF",0,0,0,0,"Niger"
"120","MAF",0,1.4,0.0372,0,"Nigeria"
"121","LAM",0,0,0,0,"Nicaragua"
"122","OECD+",68.043478261,29.130434783,0,0,"Netherlands"
"123","OECD+",0,19.674146941,0,0,"Norway"
"124","ASIA",0,0,0,0,"Nepal"
"125","OECD+",21.103493609,0,0.3459589116,3.805548028,"New Zealand"
"126","MAF",0,0,0,0,"Oman"
"127","ASIA",0.8208558532,7.059360338,0.123128378,1.84692567,"Pakistan"
"128","LAM",0.191,1.1023,0,0.0067,"Panama"
"129","LAM",0.09127966705,0,0.3346921125,3.042655568,"Peru"
"130","ASIA",2.278707587,4.025716738,1.112768872,3.892792128,"Philippines"
"131","ASIA",0,1.707818675,0,0,"Papua New Guinea"
"132","OECD+",41.766109786,24.821002387,0,0,"Poland"
"133","LAM",0,0,0,0,"Puerto Rico"
"134","OECD+",10.760869565,0,0,0,"Portugal"
"135","LAM",0.045,0,0.5,0.4,"Paraguay"
"136","OECD+",0,0,0,0,"French Polynesia"
"137","MAF",0,20.604395604,0,0,"Qatar"
"138","OECD+",3.805545102,4.578792984,0,0,"Romania"
"139","REF",0,48.069084767,0,0,"Russia"
"140","MAF",0,0.3137876147,0,0,"Rwanda"
"141","MAF",19.686666667,15.94,12.533333333,0,"Saudi Arabia"
"142","MAF",0,3.029858011,1.236100821,1.033043689,"Sudan"
"143","MAF",0.1259632068,1.236144266,0.1416186339,0.1853458614,"Senegal"
"144","ASIA",40.99814038,23.056820358,0.5931014883,4.225848104,"Singapore"
"145","OECD+",0,0.04011314744,0,0,"Solomon Islands"
"146","MAF",0,0.0075,0,0,"Sierra Leone"
"147","LAM",0,0,0,0,"El Salvador"
"148","MAF",0,0,0,0,"Somalia"
"149","OECD+",4.8115761335,0,0.3893184008,0.6488640013,"Serbia"
"150","LAM",0,0.0402009447,0.05427127534,0.0536012596,"Suriname"
"151","OECD+",0,2.032608696,0,0,"Slovakia"
"152","OECD+",0.652173913,6.902173913,0,0.05434782609,"Slovenia"
"153","OECD+",51.998739912,15.990762938,0,0,"Sweden"
"154","MAF",0,0.007552350364,0,0,"Swaziland"
"155","MAF",0,0,0,0,"Syria"
"156","MAF",0,0,0.05578370587,0.1352773829,"Chad"
"157","MAF",0,0,0.187,0.0227,"Togo"
"158","ASIA",12.379981594,46.424930978,18.569972391,0,"Thailand"
"159","REF",0,0,0,0,"Tajikistan"
"160","REF",4.646770286,0,0.8152228571,0.1222834286,"Turkmenistan"
"161","ASIA",0,0,0,0,"Timor-Leste"
"162","LAM",0,0,0,0,"Trinidad & Tobago"
"163","MAF",0,0.2682416946,0,0,"Tunisia"
"164","OECD+",5.177730629,47.013794113,0,0,"Turkey"
"165","MAF",0.376,0.0084,0.0032,0,"Tanzania"
"166","MAF",0,0.3693,0,0,"Uganda"
"167","REF",0,0,0.5808718389,8.444700088,"Ukraine"
"168","LAM",0,0.4,0,0.4,"Uruguay"
"169","OECD+",1239,636.3,200,716,"United States"
"170","REF",0,0,0,0,"Uzbekistan"
"171","LAM",0,0,0,0,"Venezuela"
"172","ASIA",7.963879383,2.433407589,0,1.592775877,"Vietnam"
"173","OECD+",0,0.02562536767,0,0,"Samoa"
"174","MAF",0.006800702739,0,0.007556336376,0,"South Africa"
"175","MAF",0,0.2524348676,0,0,"Zambia"
"176","MAF",0,0.002,0,0,"Zimbabwe"
