"","country.code","region","Individuals","Health","Economy","General"
"96","LSO","MAF",56642627.73,26433226.28,33985576.64,26433226.28
"97","LTU","OECD+",1460434783,543478260.9,2.5e+09,387391304.3
"98","LUX","OECD+",1447826087,210869565.2,9619565217.1,26086956.52
"99","LVA","OECD+",8695652.174,15217391.3,1.12e+09,856086956.5
"100","MAC","ASIA",0,0,0,6665170146
"101","MAR","MAF",0,0,0,3183877649
"102","MDA","REF",0,0,0,0
"103","MDG","MAF",0,0,0,0
"104","MDV","ASIA",0,0,0,227408031.1
"105","MEX","LAM",0,0,1299083150,8054315533
"106","MKD","OECD+",0,0,0,25344262.11
"107","MLI","MAF",0,0,0,85817164.16
"108","MLT","OECD+",0,141304347.8,0,423913043.5
"109","MMR","ASIA",26576995.41,209818.3848,69939461.62,0
"110","MNE","OECD+",0,0,0,210028336.3
"111","MNG","ASIA",261334982.8,47320831.03,0,0
"112","MOZ","MAF",0,21549506.44,0,0
"113","MRT","MAF",0,0,0,8e+07
"114","MUS","MAF",4272943.867,6129464.305,85458877.338,246209972.5
"115","MWI","MAF",0,2e+07,5e+07,0
"116","MYS","ASIA",0,0,0,10314413312
"117","NAM","MAF",0,166239209.4,173795537.1,264471469.5
"118","NCL","OECD+",0,0,0,0
"119","NER","MAF",0,0,0,0
"120","NGA","MAF",0,20700000,2.8e+07,1351300000
"121","NIC","LAM",0,0,0,0
"122","NLD","OECD+",0,0,0,21847826087
"123","NOR","OECD+",0,0,0,17091915155
"124","NPL","ASIA",0,0,0,0
"125","NZL","OECD+",1660602776,345958911.6,8994931702,5120191892
"126","OMN","MAF",0,0,0,0
"127","PAK","ASIA",1846925670,123128378,820855853.2,7059360338
"128","PAN","LAM",6700000,0,1.91e+08,0
"129","PER","LAM",1034502893,334692112.5,91279667.05,0
"130","PHL","ASIA",3892792128,1112768872,2278707587,3919377050
"131","PNG","ASIA",0,0,0,1707818675
"132","POL","OECD+",0,0,41766109786,22195704057
"133","PRI","LAM",0,0,0,0
"134","PRT","OECD+",0,0,10760869565,0
"135","PRY","LAM",4e+08,5e+08,4.5e+07,1e+09
"136","PYF","OECD+",0,0,0,0
"137","QAT","MAF",0,0,0,2.06e+10
"138","ROU","OECD+",0,0,0,8879605238
"139","RUS","REF",0,0,0,46411530120
"140","RWA","MAF",0,0,0,313787614.7
"141","SAU","MAF",0,12533333333,1.87e+10,1.378e+10
"142","SDN","MAF",1033043689,1236100821,0,3522558011
"143","SEN","MAF",0,127762681.2,124163732.4,1437145555
"144","SGP","ASIA",4225848104,593101488.3,40998140380,1408616035
"145","SLB","OECD+",0,0,0,38855682
"146","SLE","MAF",0,0,0,7500000
"147","SLV","LAM",0,0,0,0
"148","SOM","MAF",0,0,0,0
"149","SRB","OECD+",648864001.3,389318400.8,4811576133.5,0
"150","SUR","LAM",54271275.34,0,0,0
"151","SVK","OECD+",0,0,0,2032608696
"152","SVN","OECD+",54347826.09,0,652173913,5815217391
"153","SWE","OECD+",0,0,51998739912,15990762938
"154","SWZ","MAF",0,0,0,7552350.364
"155","SYR","MAF",0,0,0,0
"156","TCD","MAF",13527738.29,55783705.87,0,0
"157","TGO","MAF",0,0,0,1.3e+08
"158","THA","ASIA",0,18569972391,12379981594,46424930978
"159","TJK","REF",0,0,0,0
"160","TKM","REF",122283428.6,815222857.1,4646770286,0
"161","TLS","ASIA",0,0,0,0
"162","TTO","LAM",0,0,0,0
"163","TUN","MAF",283353902.7,37780520.36,0,623378586
"164","TUR","OECD+",0,0,5177730629,15533191887
"165","TZA","MAF",0,3.02e+08,3.76e+08,0
"166","UGA","MAF",0,0,0,81300000
"167","UKR","REF",0,0,0,220584242.6
"168","URY","LAM",4e+08,0,0,0
"169","USA","OECD+",7.16e+11,2e+11,1.239e+12,6.373e+11
"170","UZB","REF",0,0,0,0
"171","VEN","LAM",0,0,0,0
"172","VNM","ASIA",1592775877,0,7963879383,2212188717
"173","WSM","OECD+",0,0,0,25664018.3
"174","ZAF","MAF",0,7556336.376,6800702.739,0
"175","ZMB","MAF",0,0,0,252434867.6
"176","ZWE","MAF",0,0,0,2e+06
"177",NA,NA,0,0,0,0
